"행정구역","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_계_10~19세","2022년06월_계_20~29세","2022년06월_계_30~39세","2022년06월_계_40~49세","2022년06월_계_50~59세","2022년06월_계_60~69세","2022년06월_계_70~79세","2022년06월_계_80~89세","2022년06월_계_90~99세","2022년06월_계_100세 이상","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_남_10~19세","2022년06월_남_20~29세","2022년06월_남_30~39세","2022년06월_남_40~49세","2022년06월_남_50~59세","2022년06월_남_60~69세","2022년06월_남_70~79세","2022년06월_남_80~89세","2022년06월_남_90~99세","2022년06월_남_100세 이상","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세","2022년06월_여_10~19세","2022년06월_여_20~29세","2022년06월_여_30~39세","2022년06월_여_40~49세","2022년06월_여_50~59세","2022년06월_여_60~69세","2022년06월_여_70~79세","2022년06월_여_80~89세","2022년06월_여_90~99세","2022년06월_여_100세 이상"
"대전광역시 서구 괴정동(3017056000)","19,069","19,069","1,026","1,235","4,568","3,539","2,777","2,486","1,974","1,009","391","62","2","9,287","9,287","516","624","2,050","1,920","1,458","1,168","913","466","161","11","0","9,782","9,782","510","611","2,518","1,619","1,319","1,318","1,061","543","230","51","2"
"대전광역시 서구 가장동(3017057000)","11,146","11,146","686","1,007","1,479","1,287","1,728","1,838","1,693","957","413","58","0","5,390","5,390","362","505","718","679","848","879","774","437","177","11","0","5,756","5,756","324","502","761","608","880","959","919","520","236","47","0"
"대전광역시 서구 내동(3017057500)","23,460","23,460","1,640","2,537","3,103","2,514","3,858","3,912","3,290","1,757","748","101","0","11,249","11,249","820","1,218","1,624","1,263","1,835","1,844","1,503","812","305","25","0","12,211","12,211","820","1,319","1,479","1,251","2,023","2,068","1,787","945","443","76","0"
"대전광역시 서구 갈마1동(3017058100)","21,557","21,557","1,053","1,512","4,330","3,439","2,988","3,322","3,097","1,216","530","66","4","10,969","10,969","556","801","2,266","1,982","1,501","1,611","1,455","579","203","14","1","10,588","10,588","497","711","2,064","1,457","1,487","1,711","1,642","637","327","52","3"
"대전광역시 서구 갈마2동(3017058200)","24,578","24,578","1,249","1,882","5,449","4,163","3,591","4,013","2,772","952","458","47","2","12,360","12,360","654","915","2,768","2,291","1,845","1,925","1,351","441","160","10","0","12,218","12,218","595","967","2,681","1,872","1,746","2,088","1,421","511","298","37","2"
"대전광역시 서구 월평1동(3017058600)","11,347","11,347","326","520","3,016","1,954","1,442","1,845","1,379","574","252","38","1","6,085","6,085","165","281","1,595","1,171","846","962","693","274","93","4","1","5,262","5,262","161","239","1,421","783","596","883","686","300","159","34","0"
"대전광역시 서구 월평2동(3017058700)","14,348","14,348","703","1,205","1,686","1,446","1,795","2,685","2,653","1,250","789","132","4","6,795","6,795","348","609","910","739","837","1,248","1,292","558","228","25","1","7,553","7,553","355","596","776","707","958","1,437","1,361","692","561","107","3"
"대전광역시 서구 월평3동(3017058800)","20,880","20,880","1,618","2,524","2,509","2,527","3,252","3,723","3,142","1,018","475","92","0","10,221","10,221","839","1,347","1,400","1,213","1,481","1,697","1,570","481","175","18","0","10,659","10,659","779","1,177","1,109","1,314","1,771","2,026","1,572","537","300","74","0"
"대전광역시 서구 가수원동(3017059000)","10,876","10,876","616","928","1,305","1,144","1,453","1,950","1,956","979","472","68","5","5,334","5,334","319","467","725","593","754","914","906","452","182","20","2","5,542","5,542","297","461","580","551","699","1,036","1,050","527","290","48","3"
"대전광역시 서구 도안동(3017059300)","35,766","35,766","5,584","4,501","3,963","6,297","7,377","4,389","2,583","754","270","47","1","17,567","17,567","2,848","2,304","1,901","2,947","3,675","2,169","1,255","366","91","10","1","18,199","18,199","2,736","2,197","2,062","3,350","3,702","2,220","1,328","388","179","37","0"
