시점,분류,범죄발생장소,데이터
2017,약취·유인,의료기관,1
2017,약취·유인,종교기관,1
2017,약취·유인,산야,1
2017,약취·유인,해상,0
2017,약취·유인,부대,0
2017,약취·유인,구금장소,0
2017,약취·유인,공지,0
2017,약취·유인,주차장,2
2017,약취·유인,공중화장실,0
2017,약취·유인,PC방,0
2017,폭력행위등,아파트 연립다세대,419
2017,폭력행위등,단독주택,317
2017,폭력행위등,고속도로,5
2017,폭력행위등,노상,5280
2017,폭력행위등,백화점,4
2017,폭력행위등,슈퍼마켓,6
2017,폭력행위등,편의점,48
2017,폭력행위등,대형할인매장,3
2017,폭력행위등,상점,82
2017,폭력행위등,시장노점,98
2017,폭력행위등,숙박업소 목욕탕,101
2017,폭력행위등,유흥접객업소,1141
2017,폭력행위등,사무실,254
2017,폭력행위등,공장,27
2017,폭력행위등,공사장광산,63
2017,폭력행위등,창고,8
2017,폭력행위등,역대합실,20
2017,폭력행위등,지하철,3
2017,폭력행위등,기타교통수단내,28
2017,폭력행위등,흥행장,5
2017,폭력행위등,유원지,193
2017,폭력행위등,학교,149
2017,폭력행위등,금융기관,9
2017,폭력행위등,의료기관,41
2017,폭력행위등,종교기관,79
2017,폭력행위등,산야,28
2017,폭력행위등,해상,2
2017,폭력행위등,부대,2
2017,폭력행위등,구금장소,5
2017,폭력행위등,공지,1
2017,폭력행위등,주차장,269
2017,폭력행위등,공중화장실,24
2017,폭력행위등,PC방,21
2017,공갈,아파트 연립다세대,232
2017,공갈,단독주택,292
2017,공갈,고속도로,2
2017,공갈,노상,828
2017,공갈,백화점,2
2017,공갈,슈퍼마켓,21
2017,공갈,편의점,42
2017,공갈,대형할인매장,4
2017,공갈,상점,46
2017,공갈,시장노점,32
2017,공갈,숙박업소 목욕탕,59
2017,공갈,유흥접객업소,467
2017,공갈,사무실,307
2017,공갈,공장,20
2017,공갈,공사장광산,40
2017,공갈,창고,4
2017,공갈,역대합실,12
2017,공갈,지하철,0
2017,공갈,기타교통수단내,23
2017,공갈,흥행장,3
2017,공갈,유원지,32
2017,공갈,학교,89
2017,공갈,금융기관,22
2017,공갈,의료기관,19
2017,공갈,종교기관,10
2017,공갈,산야,10
2017,공갈,해상,1
2017,공갈,부대,1
2017,공갈,구금장소,1
2017,공갈,공지,0
2017,공갈,주차장,21
2017,공갈,공중화장실,3
2017,공갈,PC방,33
2017,손괴,아파트 연립다세대,3002
2017,손괴,단독주택,2692
2017,손괴,고속도로,26
2017,손괴,노상,21300
2017,손괴,백화점,9
2017,손괴,슈퍼마켓,62
2017,손괴,편의점,191
2017,손괴,대형할인매장,10
2017,손괴,상점,477
2017,손괴,시장노점,273
2017,손괴,숙박업소 목욕탕,620
2017,손괴,유흥접객업소,2064
2017,손괴,사무실,665
2017,손괴,공장,107
2017,손괴,공사장광산,177
2017,손괴,창고,68
2017,손괴,역대합실,82
2017,손괴,지하철,16
2017,손괴,기타교통수단내,78
2017,손괴,흥행장,21
2017,손괴,유원지,99
2017,손괴,학교,87
2017,손괴,금융기관,67
2017,손괴,의료기관,90
2017,손괴,종교기관,141
2017,손괴,산야,1122
2017,손괴,해상,67
2017,손괴,부대,1
2017,손괴,구금장소,1
2017,손괴,공지,13
2017,손괴,주차장,5661
2017,손괴,공중화장실,33
2017,손괴,PC방,83
2018,상해,아파트 연립다세대,4903
2018,상해,단독주택,3856
2018,상해,고속도로,42
2018,상해,노상,13802
2018,상해,백화점,20
2018,상해,슈퍼마켓,119
2018,상해,편의점,236
2018,상해,대형할인매장,25
2018,상해,상점,468
2018,상해,시장노점,426
2018,상해,숙박업소 목욕탕,741
2018,상해,유흥접객업소,6685
2018,상해,사무실,1450
2018,상해,공장,407
2018,상해,공사장광산,319
2018,상해,창고,42
2018,상해,역대합실,174
2018,상해,지하철,58
2018,상해,기타교통수단내,306
2018,상해,흥행장,65
2018,상해,유원지,411
2018,상해,학교,525
2018,상해,금융기관,22
2018,상해,의료기관,441
2018,상해,종교기관,187
2018,상해,산야,124
2018,상해,해상,34
2018,상해,부대,10
2018,상해,구금장소,10
2018,상해,공지,7
2018,상해,주차장,901
2018,상해,공중화장실,75
2018,상해,PC방,80
2018,폭행,아파트 연립다세대,21747
2018,폭행,단독주택,14760
2018,폭행,고속도로,163
2018,폭행,노상,61152
2018,폭행,백화점,143
2018,폭행,슈퍼마켓,638
2018,폭행,편의점,1745
2018,폭행,대형할인매장,100
2018,폭행,상점,2059
2018,폭행,시장노점,1688
2018,폭행,숙박업소 목욕탕,2305
2018,폭행,유흥접객업소,22772
2018,폭행,사무실,3784
2018,폭행,공장,742
2018,폭행,공사장광산,685
2018,폭행,창고,81
2018,폭행,역대합실,1166
2018,폭행,지하철,565
2018,폭행,기타교통수단내,3381
2018,폭행,흥행장,166
2018,폭행,유원지,1365
2018,폭행,학교,853
2018,폭행,금융기관,109
2018,폭행,의료기관,1656
2018,폭행,종교기관,488
2018,폭행,산야,224
